place;latitude;longitude
Palácio Real de Madrid, Espanha;40.417755;-3.714083
Museu do Prado, Espanha;40.413822;-3.692235
Parque del Retiro, Espanha;40.414543;-3.683596
Museu Thyssen-Bornemisza, Espanha;40.41616;-3.6948
Museu Nacional Centro de Arte Reina Sofia, Espanha;40.40853;-3.693914
Museu Sorolla, Espanha;40.435505;-3.692508
Gran Via, Espanha;40.42176;-3.70835
Plaza Mayor, Espanha;40.415512;-3.707401
Museo Arqueologico Nacional, Espanha;40.42333;-3.688706
Barrio de Salamanca, Espanha;40.429058;-3.67425
La Latina, Espanha;40.412186;-3.708109
Plaza de Cibeles, Espanha;40.4203;-3.69141
Parque Madrid R\u00EDo, Espanha;40.39961;-3.712749
Palacio De Cristal, Espanha;40.41354;-3.68226
Parque de El Capricho, Espanha;40.45446;-3.60007
Malasana, Espanha;40.4288;-3.70455
Puerta del Sol, Espanha;40.41702;-3.703547
Museo Cerralbo, Espanha;40.42377;-3.71459
Palacio de Cibeles, Espanha;40.41901;-3.69218
Plaza de Toros de Las Ventas, Espanha;40.43152;-3.66284
Barrio de Las Letras, Espanha;40.41354;-3.69822
Real Basilica de San Francisco el Grande, Espanha;40.41084;-3.71448
Templo de Debod, Espanha;40.424004;-3.71776
Catedral de Sta Maria la Real de la Almudena, Espanha;40.41554;-3.71367
Paseo del Prado, Espanha;40.41797;-3.69266
Plaza de Santa Ana, Espanha;40.41465;-3.70134
Museo Lazaro Galdiano, Espanha;40.43703;-3.685992
Estacion de Atocha, Espanha;40.407173;-3.692255
Plaza de Oriente, Espanha;40.418873;-3.711986
Casa de Campo, Espanha;40.419743;-3.74884
Iglesia de San Antonio de Los Alemanes, Espanha;40.422382;-3.703806
Mercado de San Antón, Espanha;40.42208;-3.69758